ID,ItemKey,ValueType,LimitType,EqLimit,LL,UL,PassOrFail,measureValue,ExecuteName,case,Command,Timeout,UseResult,WaitmSec,Instrument,SetVolt,SetCurr,Channel,Item,Type,keyWord,spiltCount,splitLength
SOC_LIN1,,string,partial,llcelin 1 150,,,,,CommandTest,console,python .\src\lowsheen_lib\XCU\UART.py COM3 command:[llcelin 1 150],10,,,,,,,,,,,
LIN1,,string,partial,0x31,,,,,CommandTest,console,python .\src\lowsheen_lib\XCU\PEAK_CAN\consolePEAK.py LIN 1 1 2 4 1 30 1 1500,10,,,,,,,,,,,
SOC_LIN2,,string,partial,llcelin 2 150,,,,,CommandTest,console,python .\src\lowsheen_lib\XCU\UART.py COM3 command:[llcelin 2 150],10,,,,,,,,,,,
LIN2,,string,partial,0x32,,,,,CommandTest,console,python .\src\lowsheen_lib\XCU\PEAK_CAN\consolePEAK.py LIN 1 1 2 4 1 30 1 1500,10,,,,,,,,,,,
SOC_LIN3,,string,partial,llcelin 3 150,,,,,CommandTest,console,python .\src\lowsheen_lib\XCU\UART.py COM3 command:[llcelin 3 150],10,,,,,,,,,,,
LIN3,,string,partial,0x33,,,,,CommandTest,console,python .\src\lowsheen_lib\XCU\PEAK_CAN\consolePEAK.py LIN 1 2 2 4 1 30 1 1500,10,,,,,,,,,,,
relay_lin_open,,string,equality,1,,,,,PowerSet,34970A,,,,,34970A_1,,,103,open,,,,
relay_adc2_clos,,string,equality,1,,,,,PowerSet,34970A,,,,,34970A_1,,,106,clos,,,,
ADC2,,string,both,,1.2,1.5,,,CommandTest,console,python .\src\lowsheen_lib\XCU\ADC.py COM3 command:[readadc 2],10,,,,,,,,,ADC_VOLT:,2,5
relay_adc2_open,,string,equality,1,,,,,PowerSet,34970A,,,,,34970A_1,,,106,open,,,,
relay_LSO01_clos,,string,equality,1,,,,,PowerSet,34970A,,,,,34970A_1,,,212,clos,,,,
LSO01_L,,float,both,,11,12.5,,,PowerRead,34970A,,,,,34970A_1,,,338,volt,DC,,,
SOC_LSO01_on,,string,partial,Set pin high,,,,,CommandTest,console,python .\src\lowsheen_lib\XCU\UART.py COM3 command:[apils 1 1],10,,,,,,,,,,,
LSO01_H,,float,both,,0,0.5,,,PowerRead,34970A,,,,,34970A_1,,,338,volt,DC,,,
SOC_LSO01_off,,string,partial,Set pin low,,,,,CommandTest,console,python .\src\lowsheen_lib\XCU\UART.py COM3 command:[apils 1 0],10,,,,,,,,,,,
relay_LSO01_open,,string,equality,1,,,,,PowerSet,34970A,,,,,34970A_1,,,212,open,,,,
relay_LSO02_clos,,string,equality,1,,,,,PowerSet,34970A,,,,,34970A_1,,,213,clos,,,,
LSO02_L,,float,both,,11,12.5,,,PowerRead,34970A,,,,,34970A_1,,,338,volt,DC,,,
SOC_LSO02_on,,string,partial,Set pin high,,,,,CommandTest,console,python .\src\lowsheen_lib\XCU\UART.py COM3 command:[apils 2 1],10,,,,,,,,,,,
LSO02_H,,float,both,,0,0.5,,,PowerRead,34970A,,,,,34970A_1,,,338,volt,DC,,,
SOC_LSO02_off,,string,partial,Set pin low,,,,,CommandTest,console,python .\src\lowsheen_lib\XCU\UART.py COM3 command:[apils 2 0],10,,,,,,,,,,,
relay_LSO02_open,,string,equality,1,,,,,PowerSet,34970A,,,,,34970A_1,,,213,open,,,,
relay_LSO03_clos,,string,equality,1,,,,,PowerSet,34970A,,,,,34970A_1,,,214,clos,,,,
LSO03_L,,float,both,,11,12.5,,,PowerRead,34970A,,,,,34970A_1,,,338,volt,DC,,,
SOC_LSO03_on,,string,partial,Set pin high,,,,,CommandTest,console,python .\src\lowsheen_lib\XCU\UART.py COM3 command:[apils 3 1],10,,,,,,,,,,,
LSO03_H,,float,both,,0,0.5,,,PowerRead,34970A,,,,,34970A_1,,,338,volt,DC,,,
SOC_LSO03_off,,string,partial,Set pin low,,,,,CommandTest,console,python .\src\lowsheen_lib\XCU\UART.py COM3 command:[apils 3 0],10,,,,,,,,,,,
relay_LSO03_open,,string,equality,1,,,,,PowerSet,34970A,,,,,34970A_1,,,214,open,,,,
relay_LSO04_clos,,string,equality,1,,,,,PowerSet,34970A,,,,,34970A_1,,,215,clos,,,,
LSO04_L,,float,both,,11,12.5,,,PowerRead,34970A,,,,,34970A_1,,,338,volt,DC,,,
SOC_LSO04_on,,string,partial,Set pin high,,,,,CommandTest,console,python .\src\lowsheen_lib\XCU\UART.py COM3 command:[apils 4 1],10,,,,,,,,,,,
LSO04_H,,float,both,,0,0.5,,,PowerRead,34970A,,,,,34970A_1,,,338,volt,DC,,,
SOC_LSO04_off,,string,partial,Set pin low,,,,,CommandTest,console,python .\src\lowsheen_lib\XCU\UART.py COM3 command:[apils 4 0],10,,,,,,,,,,,
relay_LSO04_open,,string,equality,1,,,,,PowerSet,34970A,,,,,34970A_1,,,215,open,,,,
relay_LSO05_clos,,string,equality,1,,,,,PowerSet,34970A,,,,,34970A_1,,,216,clos,,,,
LSO05_L,,float,both,,11,12.5,,,PowerRead,34970A,,,,,34970A_1,,,338,volt,DC,,,
SOC_LSO05_on,,string,partial,Set pin high,,,,,CommandTest,console,python .\src\lowsheen_lib\XCU\UART.py COM3 command:[apils 5 1],10,,,,,,,,,,,
LSO05_H,,float,both,,0,0.5,,,PowerRead,34970A,,,,,34970A_1,,,338,volt,DC,,,
SOC_LSO05_off,,string,partial,Set pin low,,,,,CommandTest,console,python .\src\lowsheen_lib\XCU\UART.py COM3 command:[apils 5 0],10,,,,,,,,,,,
relay_LSO05_open,,string,equality,1,,,,,PowerSet,34970A,,,,,34970A_1,,,216,open,,,,
HSO_01_L,,float,both,,0,0.5,,,PowerRead,34970A,,,,,34970A_1,,,301,volt,DC,,,
SOC_HSO01_on,,string,partial,Set pin high,,,,,CommandTest,console,python .\src\lowsheen_lib\XCU\UART.py COM3 command:[hs2602 5 1],10,,,,,,,,,,,
HSO_01_H,,float,both,,11,12.5,,,PowerRead,34970A,,,,,34970A_1,,,301,volt,DC,,,
SOC_HSO01_off,,string,partial,Set pin low,,,,,CommandTest,console,python .\src\lowsheen_lib\XCU\UART.py COM3 command:[hs2602 5 0],10,,,,,,,,,,,
HSO_02_L,,float,both,,0,0.5,,,PowerRead,34970A,,,,,34970A_1,,,302,volt,DC,,,
SOC_HSO02_on,,string,partial,Set pin high,,,,,CommandTest,console,python .\src\lowsheen_lib\XCU\UART.py COM3 command:[hs2602 4 1],10,,,,,,,,,,,
HSO_02_H,,float,both,,11,12.5,,,PowerRead,34970A,,,,,34970A_1,,,302,volt,DC,,,
SOC_HSO02_off,,string,partial,Set pin low,,,,,CommandTest,console,python .\src\lowsheen_lib\XCU\UART.py COM3 command:[hs2602 4 0],10,,,,,,,,,,,
HSO_03_L,,float,both,,0,0.5,,,PowerRead,34970A,,,,,34970A_1,,,303,volt,DC,,,
SOC_HSO03_on,,string,partial,Set pin high,,,,,CommandTest,console,python .\src\lowsheen_lib\XCU\UART.py COM3 command:[hs2602 3 1],10,,,,,,,,,,,
HSO_03_H,,float,both,,11,12.5,,,PowerRead,34970A,,,,,34970A_1,,,303,volt,DC,,,
SOC_HSO03_off,,string,partial,Set pin low,,,,,CommandTest,console,python .\src\lowsheen_lib\XCU\UART.py COM3 command:[hs2602 3 0],10,,,,,,,,,,,
HSO_04_L,,float,both,,0,0.5,,,PowerRead,34970A,,,,,34970A_1,,,304,volt,DC,,,
SOC_HSO04_on,,string,partial,Set pin high,,,,,CommandTest,console,python .\src\lowsheen_lib\XCU\UART.py COM3 command:[hs2608 2 1],10,,,,,,,,,,,
HSO_04_H,,float,both,,11,12.5,,,PowerRead,34970A,,,,,34970A_1,,,304,volt,DC,,,
SOC_HSO04_off,,string,partial,Set pin low,,,,,CommandTest,console,python .\src\lowsheen_lib\XCU\UART.py COM3 command:[hs2608 2 0],10,,,,,,,,,,,
HSO_05_L,,float,both,,0,0.5,,,PowerRead,34970A,,,,,34970A_1,,,305,volt,DC,,,
SOC_HSO05_on,,string,partial,Set pin high,,,,,CommandTest,console,python .\src\lowsheen_lib\XCU\UART.py COM3 command:[hs2602 2 1],10,,,,,,,,,,,
HSO_05_H,,float,both,,11,12.5,,,PowerRead,34970A,,,,,34970A_1,,,305,volt,DC,,,
SOC_HSO05_off,,string,partial,Set pin low,,,,,CommandTest,console,python .\src\lowsheen_lib\XCU\UART.py COM3 command:[hs2602 2 0],10,,,,,,,,,,,
HSO_09_L,,float,both,,0,0.5,,,PowerRead,34970A,,,,,34970A_1,,,309,volt,DC,,,
SOC_HSO09_on,,string,partial,Set pin high,,,,,CommandTest,console,python .\src\lowsheen_lib\XCU\UART.py COM3 command:[hs2605 2 1],10,,,,,,,,,,,
HSO_09_H,,float,both,,11,12.5,,,PowerRead,34970A,,,,,34970A_1,,,309,volt,DC,,,
SOC_HSO09_off,,string,partial,Set pin low,,,,,CommandTest,console,python .\src\lowsheen_lib\XCU\UART.py COM3 command:[hs2605 2 0],10,,,,,,,,,,,
HSO_10_L,,float,both,,0,0.5,,,PowerRead,34970A,,,,,34970A_1,,,310,volt,DC,,,
SOC_HSO10_on,,string,partial,Set pin high,,,,,CommandTest,console,python .\src\lowsheen_lib\XCU\UART.py COM3 command:[hs2604 2 1],10,,,,,,,,,,,
HSO_10_H,,float,both,,11,12.5,,,PowerRead,34970A,,,,,34970A_1,,,310,volt,DC,,,
SOC_HSO10_off,,string,partial,Set pin low,,,,,CommandTest,console,python .\src\lowsheen_lib\XCU\UART.py COM3 command:[hs2604 2 0],10,,,,,,,,,,,
HSO_11_L,,float,both,,0,0.5,,,PowerRead,34970A,,,,,34970A_1,,,311,volt,DC,,,
SOC_HSO11_on,,string,partial,Set pin high,,,,,CommandTest,console,python .\src\lowsheen_lib\XCU\UART.py COM3 command:[hs2713 2 1],10,,,,,,,,,,,
HSO_11_H,,float,both,,11,12.5,,,PowerRead,34970A,,,,,34970A_1,,,311,volt,DC,,,
SOC_HSO11_off,,string,partial,Set pin low,,,,,CommandTest,console,python .\src\lowsheen_lib\XCU\UART.py COM3 command:[hs2713 2 0],10,,,,,,,,,,,
HSO_12_L,,float,both,,0,0.5,,,PowerRead,34970A,,,,,34970A_1,,,312,volt,DC,,,
SOC_HSO12_on,,string,partial,Set pin high,,,,,CommandTest,console,python .\src\lowsheen_lib\XCU\UART.py COM3 command:[hs2713 3 1],10,,,,,,,,,,,
HSO_12_H,,float,both,,11,12.5,,,PowerRead,34970A,,,,,34970A_1,,,312,volt,DC,,,
SOC_HSO12_off,,string,partial,Set pin low,,,,,CommandTest,console,python .\src\lowsheen_lib\XCU\UART.py COM3 command:[hs2713 3 0],10,,,,,,,,,,,
HSO_14_L,,float,both,,0,0.5,,,PowerRead,34970A,,,,,34970A_1,,,314,volt,DC,,,
SOC_HSO14_on,,string,partial,Set pin high,,,,,CommandTest,console,python .\src\lowsheen_lib\XCU\UART.py COM3 command:[hs2702 4 1],10,,,,,,,,,,,
HSO_14_H,,float,both,,11,12.5,,,PowerRead,34970A,,,,,34970A_1,,,314,volt,DC,,,
SOC_HSO14_off,,string,partial,Set pin low,,,,,CommandTest,console,python .\src\lowsheen_lib\XCU\UART.py COM3 command:[hs2702 4 0],10,,,,,,,,,,,
HSO_16_L,,float,both,,0,0.5,,,PowerRead,34970A,,,,,34970A_1,,,316,volt,DC,,,
SOC_HSO16_on,,string,partial,Set pin high,,,,,CommandTest,console,python .\src\lowsheen_lib\XCU\UART.py COM3 command:[hs2702 2 1],10,,,,,,,,,,,
HSO_16_H,,float,both,,11,12.5,,,PowerRead,34970A,,,,,34970A_1,,,316,volt,DC,,,
SOC_HSO16_off,,string,partial,Set pin low,,,,,CommandTest,console,python .\src\lowsheen_lib\XCU\UART.py COM3 command:[hs2702 2 0],10,,,,,,,,,,,
HSO_17_L,,float,both,,0,0.5,,,PowerRead,34970A,,,,,34970A_1,,,317,volt,DC,,,
SOC_HSO17_on,,string,partial,Set pin high,,,,,CommandTest,console,python .\src\lowsheen_lib\XCU\UART.py COM3 command:[hs2603 4 1],10,,,,,,,,,,,
HSO_17_H,,float,both,,11,12.5,,,PowerRead,34970A,,,,,34970A_1,,,317,volt,DC,,,
SOC_HSO17_off,,string,partial,Set pin low,,,,,CommandTest,console,python .\src\lowsheen_lib\XCU\UART.py COM3 command:[hs2603 4 0],10,,,,,,,,,,,
HSO_18_L,,float,both,,0,0.5,,,PowerRead,34970A,,,,,34970A_1,,,318,volt,DC,,,
SOC_HSO18_on,,string,partial,Set pin high,,,,,CommandTest,console,python .\src\lowsheen_lib\XCU\UART.py COM3 command:[hs2603 3 1],10,,,,,,,,,,,
HSO_18_H,,float,both,,11,12.5,,,PowerRead,34970A,,,,,34970A_1,,,318,volt,DC,,,
SOC_HSO18_off,,string,partial,Set pin low,,,,,CommandTest,console,python .\src\lowsheen_lib\XCU\UART.py COM3 command:[hs2603 3 0],10,,,,,,,,,,,
HSO_20_L,,float,both,,0,0.5,,,PowerRead,34970A,,,,,34970A_1,,,320,volt,DC,,,
SOC_HSO20_on,,string,partial,Set pin high,,,,,CommandTest,console,python .\src\lowsheen_lib\XCU\UART.py COM3 command:[hs2704 3 1],10,,,,,,,,,,,
HSO_20_H,,float,both,,11,12.5,,,PowerRead,34970A,,,,,34970A_1,,,320,volt,DC,,,
SOC_HSO20_off,,string,partial,Set pin low,,,,,CommandTest,console,python .\src\lowsheen_lib\XCU\UART.py COM3 command:[hs2704 3 0],10,,,,,,,,,,,
HSO_21_L,,float,both,,0,0.5,,,PowerRead,34970A,,,,,34970A_1,,,321,volt,DC,,,
SOC_HSO21_on,,string,partial,Set pin high,,,,,CommandTest,console,python .\src\lowsheen_lib\XCU\UART.py COM3 command:[hs2704 2 1],10,,,,,,,,,,,
HSO_21_H,,float,both,,11,12.5,,,PowerRead,34970A,,,,,34970A_1,,,321,volt,DC,,,
SOC_HSO21_off,,string,partial,Set pin low,,,,,CommandTest,console,python .\src\lowsheen_lib\XCU\UART.py COM3 command:[hs2704 2 0],10,,,,,,,,,,,
HSO_22_L,,float,both,,0,0.5,,,PowerRead,34970A,,,,,34970A_1,,,322,volt,DC,,,
SOC_HSO22_on,,string,partial,Set pin high,,,,,CommandTest,console,python .\src\lowsheen_lib\XCU\UART.py COM3 command:[hs2603 5 1],10,,,,,,,,,,,
HSO_22_H,,float,both,,11,12.5,,,PowerRead,34970A,,,,,34970A_1,,,322,volt,DC,,,
SOC_HSO22_off,,string,partial,Set pin low,,,,,CommandTest,console,python .\src\lowsheen_lib\XCU\UART.py COM3 command:[hs2603 5 0],10,,,,,,,,,,,
HSO_23_L,,float,both,,0,0.5,,,PowerRead,34970A,,,,,34970A_1,,,323,volt,DC,,,
SOC_HSO23_on,,string,partial,Set pin high,,,,,CommandTest,console,python .\src\lowsheen_lib\XCU\UART.py COM3 command:[hs2603 2 1],10,,,,,,,,,,,
HSO_23_H,,float,both,,11,12.5,,,PowerRead,34970A,,,,,34970A_1,,,323,volt,DC,,,
SOC_HSO23_off,,string,partial,Set pin low,,,,,CommandTest,console,python .\src\lowsheen_lib\XCU\UART.py COM3 command:[hs2603 2 0],10,,,,,,,,,,,
HSO_24_L,,float,both,,0,0.5,,,PowerRead,34970A,,,,,34970A_1,,,324,volt,DC,,,
SOC_HSO24_on,,string,partial,Set pin high,,,,,CommandTest,console,python .\src\lowsheen_lib\XCU\UART.py COM3 command:[hs2701 3 1],10,,,,,,,,,,,
HSO_24_H,,float,both,,11,12.5,,,PowerRead,34970A,,,,,34970A_1,,,324,volt,DC,,,
SOC_HSO24_off,,string,partial,Set pin low,,,,,CommandTest,console,python .\src\lowsheen_lib\XCU\UART.py COM3 command:[hs2701 3 0],10,,,,,,,,,,,
HSO_25_L,,float,both,,0,0.5,,,PowerRead,34970A,,,,,34970A_1,,,325,volt,DC,,,
SOC_HSO25_on,,string,partial,Set pin high,,,,,CommandTest,console,python .\src\lowsheen_lib\XCU\UART.py COM3 command:[hs2701 4 1],10,,,,,,,,,,,
HSO_25_H,,float,both,,11,12.5,,,PowerRead,34970A,,,,,34970A_1,,,325,volt,DC,,,
SOC_HSO25_off,,string,partial,Set pin low,,,,,CommandTest,console,python .\src\lowsheen_lib\XCU\UART.py COM3 command:[hs2701 4 0],10,,,,,,,,,,,
HSO_26_L,,float,both,,0,0.5,,,PowerRead,34970A,,,,,34970A_1,,,326,volt,DC,,,
SOC_HSO26_on,,string,partial,Set pin high,,,,,CommandTest,console,python .\src\lowsheen_lib\XCU\UART.py COM3 command:[hs2701 5 1],10,,,,,,,,,,,
HSO_26_H,,float,both,,11,12.5,,,PowerRead,34970A,,,,,34970A_1,,,326,volt,DC,,,
SOC_HSO26_off,,string,partial,Set pin low,,,,,CommandTest,console,python .\src\lowsheen_lib\XCU\UART.py COM3 command:[hs2701 5 0],10,,,,,,,,,,,
HSO_27_L,,float,both,,0,0.5,,,PowerRead,34970A,,,,,34970A_1,,,327,volt,DC,,,
SOC_HSO27_on,,string,partial,Set pin high,,,,,CommandTest,console,python .\src\lowsheen_lib\XCU\UART.py COM3 command:[hs2701 2 1],10,,,,,,,,,,,
HSO_27_H,,float,both,,11,12.5,,,PowerRead,34970A,,,,,34970A_1,,,327,volt,DC,,,
SOC_HSO27_off,,string,partial,Set pin low,,,,,CommandTest,console,python .\src\lowsheen_lib\XCU\UART.py COM3 command:[hs2701 2 0],10,,,,,,,,,,,
HSO_28_L,,float,both,,0,0.5,,,PowerRead,34970A,,,,,34970A_1,,,328,volt,DC,,,
SOC_HSO28_on,,string,partial,Set pin high,,,,,CommandTest,console,python .\src\lowsheen_lib\XCU\UART.py COM3 command:[hs2702 3 1],10,,,,,,,,,,,
HSO_28_H,,float,both,,11,12.5,,,PowerRead,34970A,,,,,34970A_1,,,328,volt,DC,,,
SOC_HSO28_off,,string,partial,Set pin low,,,,,CommandTest,console,python .\src\lowsheen_lib\XCU\UART.py COM3 command:[hs2702 3 0],10,,,,,,,,,,,
SOC_HSO29_on,,string,partial,apipwm 6 1500 100,,,,,CommandTest,console,python .\src\lowsheen_lib\XCU\UART.py COM3 command:[apipwm 6 1500 100],10,,,,,,,,,,,
HSO_29_H,,float,both,,11,13,,,PowerRead,34970A,,,,,34970A_1,,,329,volt,DC,,,
SOC_HSO29_off,,string,partial,apipwm 6 1500 0,,,,,CommandTest,console,python .\src\lowsheen_lib\XCU\UART.py COM3 command:[apipwm 6 1500 0],10,,,,,,,,,,,
HSO_29_L,,float,both,,0,0.5,,,PowerRead,34970A,,,,,34970A_1,,,329,volt,DC,,,
SOC_HSO30_on,,string,partial,apipwm 7 1500 100,,,,,CommandTest,console,python .\src\lowsheen_lib\XCU\UART.py COM3 command:[apipwm 7 1500 100],10,,,,,,,,,,,
HSO_30_H,,float,both,,11,13,,,PowerRead,34970A,,,,,34970A_1,,,330,volt,DC,,,
SOC_HSO30_off,,string,partial,apipwm 7 1500 0,,,,,CommandTest,console,python .\src\lowsheen_lib\XCU\UART.py COM3 command:[apipwm 7 1500 0],10,,,,,,,,,,,
HSO_30_L,,float,both,,0,0.5,,,PowerRead,34970A,,,,,34970A_1,,,330,volt,DC,,,
SOC_HSO31_on,,string,partial,apipwm 3 1500 100,,,,,CommandTest,console,python .\src\lowsheen_lib\XCU\UART.py COM3 command:[apipwm 3 1500 100],10,,,,,,,,,,,
HSO_31_H,,float,both,,11,13,,,PowerRead,34970A,,,,,34970A_1,,,331,volt,DC,,,
SOC_HSO31_off,,string,partial,apipwm 3 1500 0,,,,,CommandTest,console,python .\src\lowsheen_lib\XCU\UART.py COM3 command:[apipwm 3 1500 0],10,,,,,,,,,,,
HSO_31_L,,float,both,,0,0.5,,,PowerRead,34970A,,,,,34970A_1,,,331,volt,DC,,,
SOC_HSO32_on,,string,partial,apipwm 2 1500 100,,,,,CommandTest,console,python .\src\lowsheen_lib\XCU\UART.py COM3 command:[apipwm 2 1500 100],10,,,,,,,,,,,
HSO_32_H,,float,both,,11,13,,,PowerRead,34970A,,,,,34970A_1,,,332,volt,DC,,,
SOC_HSO32_off,,string,partial,apipwm 2 1500 0,,,,,CommandTest,console,python .\src\lowsheen_lib\XCU\UART.py COM3 command:[apipwm 2 1500 0],10,,,,,,,,,,,
