ID,ItemKey,ValueType,LimitType,EqLimit,LL,UL,PassOrFail,measureValue,ExecuteName,case,Command,Timeout,UseResult,WaitmSec,Instrument,SetVolt,SetCurr,Channel,Item,Type,keyWord,spiltCount,splitLength
LS_OUT1_H,,float,both,,0,0.5,,,PowerRead,34970A,,,,,34970A_1,,,231,volt,DC,,,
SOC_LS_OUT1_off,,string,partial,Set pin low,,,,,CommandTest,console,python .\src\lowsheen_lib\XCU\UART.py COM3 command:[apils 1 0],10,,,,,,,,,,,
relay_LS_OUT1_open,,string,equality,1,,,,,PowerSet,34970A,,,,,34970A_1,,,106,open,,,,
relay_LS_OUT2_clos,,string,equality,1,,,,,PowerSet,34970A,,,,,34970A_1,,,107,clos,,,,
LS_OUT2_L,,float,both,,11,12.5,,,PowerRead,34970A,,,,,34970A_1,,,231,volt,DC,,,
SOC_LS_OUT2_on,,string,partial,Set pin high,,,,,CommandTest,console,python .\src\lowsheen_lib\XCU\UART.py COM3 command:[apils 2 1],10,,,,,,,,,,,
LS_OUT2_H,,float,both,,0,0.5,,,PowerRead,34970A,,,,,34970A_1,,,231,volt,DC,,,
SOC_LS_OUT2_off,,string,partial,Set pin low,,,,,CommandTest,console,python .\src\lowsheen_lib\XCU\UART.py COM3 command:[apils 2 0],10,,,,,,,,,,,
relay_LS_OUT2_open,,string,equality,1,,,,,PowerSet,34970A,,,,,34970A_1,,,107,open,,,,
relay_LS_OUT3_clos,,string,equality,1,,,,,PowerSet,34970A,,,,,34970A_1,,,108,clos,,,,
LS_OUT3_L,,float,both,,11,12.5,,,PowerRead,34970A,,,,,34970A_1,,,231,volt,DC,,,
SOC_LS_OUT3_on,,string,partial,Set pin high,,,,,CommandTest,console,python .\src\lowsheen_lib\XCU\UART.py COM3 command:[apils 3 1],10,,,,,,,,,,,
LS_OUT3_H,,float,both,,0,0.5,,,PowerRead,34970A,,,,,34970A_1,,,231,volt,DC,,,
SOC_LS_OUT3_off,,string,partial,Set pin low,,,,,CommandTest,console,python .\src\lowsheen_lib\XCU\UART.py COM3 command:[apils 3 0],10,,,,,,,,,,,
relay_LS_OUT3_open,,string,equality,1,,,,,PowerSet,34970A,,,,,34970A_1,,,108,open,,,,
relay_LS_OUT4_clos,,string,equality,1,,,,,PowerSet,34970A,,,,,34970A_1,,,109,clos,,,,
LS_OUT4_L,,float,both,,11,12.5,,,PowerRead,34970A,,,,,34970A_1,,,231,volt,DC,,,
SOC_LS_OUT4_on,,string,partial,Set pin high,,,,,CommandTest,console,python .\src\lowsheen_lib\XCU\UART.py COM3 command:[apils 4 1],10,,,,,,,,,,,
LS_OUT4_H,,float,both,,0,0.5,,,PowerRead,34970A,,,,,34970A_1,,,231,volt,DC,,,
SOC_LS_OUT4_off,,string,partial,Set pin low,,,,,CommandTest,console,python .\src\lowsheen_lib\XCU\UART.py COM3 command:[apils 4 0],10,,,,,,,,,,,
relay_LS_OUT4_open,,string,equality,1,,,,,PowerSet,34970A,,,,,34970A_1,,,109,open,,,,
relay_LS_OUT5_clos,,string,equality,1,,,,,PowerSet,34970A,,,,,34970A_1,,,110,clos,,,,
LS_OUT5_L,,float,both,,11,12.5,,,PowerRead,34970A,,,,,34970A_1,,,231,volt,DC,,,
SOC_LS_OUT5_on,,string,partial,Set pin high,,,,,CommandTest,console,python .\src\lowsheen_lib\XCU\UART.py COM3 command:[apils 5 1],10,,,,,,,,,,,
LS_OUT5_H,,float,both,,0,0.5,,,PowerRead,34970A,,,,,34970A_1,,,231,volt,DC,,,
SOC_LS_OUT5_off,,string,partial,Set pin low,,,,,CommandTest,console,python .\src\lowsheen_lib\XCU\UART.py COM3 command:[apils 5 0],10,,,,,,,,,,,
relay_LS_OUT5_open,,string,equality,1,,,,,PowerSet,34970A,,,,,34970A_1,,,110,open,,,,
relay_LS_OUT6_clos,,string,equality,1,,,,,PowerSet,34970A,,,,,34970A_1,,,111,clos,,,,
LS_OUT6_L,,float,both,,11,12.5,,,PowerRead,34970A,,,,,34970A_1,,,231,volt,DC,,,
SOC_LS_OUT6_on,,string,partial,Set pin high,,,,,CommandTest,console,python .\src\lowsheen_lib\XCU\UART.py COM3 command:[apils 6 1],10,,,,,,,,,,,
LS_OUT6_H,,float,both,,0,0.5,,,PowerRead,34970A,,,,,34970A_1,,,231,volt,DC,,,
SOC_LS_OUT6_off,,string,partial,Set pin low,,,,,CommandTest,console,python .\src\lowsheen_lib\XCU\UART.py COM3 command:[apils 6 0],10,,,,,,,,,,,
relay_LS_OUT6_open,,string,equality,1,,,,,PowerSet,34970A,,,,,34970A_1,,,111,open,,,,
SOC_UIC2601_0_on,,string,partial,apipwm 4 2000 100,,,,,CommandTest,console,python .\src\lowsheen_lib\XCU\UART.py COM3 command:[apipwm 4 2000 100],10,,,,,,,,,,,
UIC2601_0_H,,float,both,,11,13,,,PowerRead,34970A,,,,,34970A_1,,,201,volt,DC,,,
SOC_UIC2601_0_off,,string,partial,apipwm 4 2000 0,,,,,CommandTest,console,python .\src\lowsheen_lib\XCU\UART.py COM3 command:[apipwm 4 2000 0],10,,,,,,,,,,,
UIC2601_0_L,,float,both,,0,0.5,,,PowerRead,34970A,,,,,34970A_1,,,201,volt,DC,,,
SOC_UIC2601_1_on,,string,partial,apipwm 5 2000 100,,,,,CommandTest,console,python .\src\lowsheen_lib\XCU\UART.py COM3 command:[apipwm 5 2000 100],10,,,,,,,,,,,
UIC2601_1_H,,float,both,,11,13,,,PowerRead,34970A,,,,,34970A_1,,,202,volt,DC,,,
SOC_UIC2601_1_off,,string,partial,apipwm 5 2000 0,,,,,CommandTest,console,python .\src\lowsheen_lib\XCU\UART.py COM3 command:[apipwm 5 2000 0],10,,,,,,,,,,,
UIC2601_1_L,,float,both,,0,0.5,,,PowerRead,34970A,,,,,34970A_1,,,202,volt,DC,,,
SOC_UIC2607_2_on,,string,partial,apipwm 3 2000 100,,,,,CommandTest,console,python .\src\lowsheen_lib\XCU\UART.py COM3 command:[apipwm 3 2000 100],10,,,,,,,,,,,
UIC2607_2_H,,float,both,,11,13,,,PowerRead,34970A,,,,,34970A_1,,,212,volt,DC,,,
SOC_UIC2607_2_off,,string,partial,apipwm 3 2000 0,,,,,CommandTest,console,python .\src\lowsheen_lib\XCU\UART.py COM3 command:[apipwm 3 2000 0],10,,,,,,,,,,,
UIC2607_2_L,,float,both,,0,0.5,,,PowerRead,34970A,,,,,34970A_1,,,212,volt,DC,,,
SOC_UIC2616_1_on,,string,partial,apipwm 7 2000 100,,,,,CommandTest,console,python .\src\lowsheen_lib\XCU\UART.py COM3 command:[apipwm 7 2000 100],10,,,,,,,,,,,
UIC2616_1_H,,float,both,,11,13,,,PowerRead,34970A,,,,,34970A_1,,,214,volt,DC,,,
SOC_UIC2616_1_off,,string,partial,apipwm 7 2000 0,,,,,CommandTest,console,python .\src\lowsheen_lib\XCU\UART.py COM3 command:[apipwm 7 2000 0],10,,,,,,,,,,,
UIC2616_1_L,,float,both,,0,0.5,,,PowerRead,34970A,,,,,34970A_1,,,214,volt,DC,,,
SOC_UIC2614_0_on,,string,partial,apipwm 2 2000 100,,,,,CommandTest,console,python .\src\lowsheen_lib\XCU\UART.py COM3 command:[apipwm 2 2000 100],10,,,,,,,,,,,
UIC2614_0_H,,float,both,,11,13,,,PowerRead,34970A,,,,,34970A_1,,,219,volt,DC,,,
SOC_UIC2614_0_off,,string,partial,apipwm 2 2000 0,,,,,CommandTest,console,python .\src\lowsheen_lib\XCU\UART.py COM3 command:[apipwm 2 2000 0],10,,,,,,,,,,,
UIC2614_0_L,,float,both,,0,0.5,,,PowerRead,34970A,,,,,34970A_1,,,219,volt,DC,,,
SOC_UIC2614_1_on,,string,partial,apipwm 6 2000 100,,,,,CommandTest,console,python .\src\lowsheen_lib\XCU\UART.py COM3 command:[apipwm 6 2000 100],10,,,,,,,,,,,
UIC2614_1_H,,float,both,,11,13,,,PowerRead,34970A,,,,,34970A_1,,,220,volt,DC,,,
SOC_UIC2614_1_off,,string,partial,apipwm 6 2000 0,,,,,CommandTest,console,python .\src\lowsheen_lib\XCU\UART.py COM3 command:[apipwm 6 2000 0],10,,,,,,,,,,,
UIC2614_1_L,,float,both,,0,0.5,,,PowerRead,34970A,,,,,34970A_1,,,220,volt,DC,,,
SOC_UIC2712_0_on,,string,partial,apipwm 1 2000 100,,,,,CommandTest,console,python .\src\lowsheen_lib\XCU\UART.py COM3 command:[apipwm 1 2000 100],10,,,,,,,,,,,
UIC2712_0_H,,float,both,,11,13,,,PowerRead,34970A,,,,,34970A_1,,,,volt,DC,,,
SOC_UIC2712_0_off,,string,partial,apipwm 1 2000 0,,,,,CommandTest,console,python .\src\lowsheen_lib\XCU\UART.py COM3 command:[apipwm 1 2000 0],10,,,,,,,,,,,
UIC2712_0_L,,float,both,,0,0.5,,,PowerRead,34970A,,,,,34970A_1,,,,volt,DC,,,
UIC2615_1_L,,float,both,,0,0.5,,,PowerRead,34970A,,,,,34970A_1,,,209,volt,DC,,,
SOC_UIC2615_1_on,,string,partial,Set pin high,,,,,CommandTest,console,python .\src\lowsheen_lib\XCU\UART.py COM3 command:[hs2615 2 1],10,,,,,,,,,,,
UIC2615_1_H,,float,both,,11,12.5,,,PowerRead,34970A,,,,,34970A_1,,,209,volt,DC,,,
SOC_UIC2615_1_off,,string,partial,Set pin low,,,,,CommandTest,console,python .\src\lowsheen_lib\XCU\UART.py COM3 command:[hs2615 2 0],10,,,,,,,,,,,
UIC2714_0_L,,float,both,,0,0.5,,,PowerRead,34970A,,,,,34970A_1,,,221,volt,DC,,,
SOC_UIC2714_0_on,,string,partial,Set pin high,,,,,CommandTest,console,python .\src\lowsheen_lib\XCU\UART.py COM3 command:[hs2714 2 1],10,,,,,,,,,,,
UIC2714_0_H,,float,both,,11,12.5,,,PowerRead,34970A,,,,,34970A_1,,,221,volt,DC,,,
SOC_UIC2714_0_off,,string,partial,Set pin low,,,,,CommandTest,console,python .\src\lowsheen_lib\XCU\UART.py COM3 command:[hs2714 2 0],10,,,,,,,,,,,
UIC2714_1_L,,float,both,,0,0.5,,,PowerRead,34970A,,,,,34970A_1,,,222,volt,DC,,,
SOC_UIC2714_1_on,,string,partial,Set pin high,,,,,CommandTest,console,python .\src\lowsheen_lib\XCU\UART.py COM3 command:[hs2714 3 1],10,,,,,,,,,,,
UIC2714_1_H,,float,both,,11,12.5,,,PowerRead,34970A,,,,,34970A_1,,,222,volt,DC,,,
SOC_UIC2714_1_off,,string,partial,Set pin low,,,,,CommandTest,console,python .\src\lowsheen_lib\XCU\UART.py COM3 command:[hs2714 3 0],10,,,,,,,,,,,
UIC2714_2_L,,float,both,,0,0.5,,,PowerRead,34970A,,,,,34970A_1,,,223,volt,DC,,,
SOC_UIC2714_2_on,,string,partial,Set pin high,,,,,CommandTest,console,python .\src\lowsheen_lib\XCU\UART.py COM3 command:[hs2714 4 1],10,,,,,,,,,,,
UIC2714_2_H,,float,both,,11,12.5,,,PowerRead,34970A,,,,,34970A_1,,,223,volt,DC,,,
SOC_UIC2714_2_off,,string,partial,Set pin low,,,,,CommandTest,console,python .\src\lowsheen_lib\XCU\UART.py COM3 command:[hs2714 4 0],10,,,,,,,,,,,
UIC2714_3_L,,float,both,,0,0.5,,,PowerRead,34970A,,,,,34970A_1,,,224,volt,DC,,,
SOC_UIC2714_3_on,,string,partial,Set pin high,,,,,CommandTest,console,python .\src\lowsheen_lib\XCU\UART.py COM3 command:[hs2714 5 1],10,,,,,,,,,,,
UIC2714_3_H,,float,both,,11,12.5,,,PowerRead,34970A,,,,,34970A_1,,,224,volt,DC,,,
SOC_UIC2714_3_off,,string,partial,Set pin low,,,,,CommandTest,console,python .\src\lowsheen_lib\XCU\UART.py COM3 command:[hs2714 5 0],10,,,,,,,,,,,
UIC2716_0_L,,float,both,,0,0.5,,,PowerRead,34970A,,,,,34970A_1,,,225,volt,DC,,,
SOC_UIC2716_0_on,,string,partial,Set pin high,,,,,CommandTest,console,python .\src\lowsheen_lib\XCU\UART.py COM3 command:[hs2716 2 1],10,,,,,,,,,,,
UIC2716_0_H,,float,both,,11,12.5,,,PowerRead,34970A,,,,,34970A_1,,,225,volt,DC,,,
SOC_UIC2716_0_off,,string,partial,Set pin low,,,,,CommandTest,console,python .\src\lowsheen_lib\XCU\UART.py COM3 command:[hs2716 2 0],10,,,,,,,,,,,
UIC2716_1_L,,float,both,,0,0.5,,,PowerRead,34970A,,,,,34970A_1,,,226,volt,DC,,,
SOC_UIC2716_1_on,,string,partial,Set pin high,,,,,CommandTest,console,python .\src\lowsheen_lib\XCU\UART.py COM3 command:[hs2716 3 1],10,,,,,,,,,,,
UIC2716_1_H,,float,both,,11,12.5,,,PowerRead,34970A,,,,,34970A_1,,,226,volt,DC,,,
SOC_UIC2716_1_off,,string,partial,Set pin low,,,,,CommandTest,console,python .\src\lowsheen_lib\XCU\UART.py COM3 command:[hs2716 3 0],10,,,,,,,,,,,
UIC2715_0_L,,float,both,,0,0.5,,,PowerRead,34970A,,,,,34970A_1,,,227,volt,DC,,,
SOC_UIC2715_0_on,,string,partial,Set pin high,,,,,CommandTest,console,python .\src\lowsheen_lib\XCU\UART.py COM3 command:[hs2715 2 1],10,,,,,,,,,,,
UIC2715_0_H,,float,both,,11,12.5,,,PowerRead,34970A,,,,,34970A_1,,,227,volt,DC,,,
SOC_UIC2715_0_off,,string,partial,Set pin low,,,,,CommandTest,console,python .\src\lowsheen_lib\XCU\UART.py COM3 command:[hs2715 2 0],10,,,,,,,,,,,
UIC2715_1_L,,float,both,,0,0.5,,,PowerRead,34970A,,,,,34970A_1,,,228,volt,DC,,,
SOC_UIC2715_1_on,,string,partial,Set pin high,,,,,CommandTest,console,python .\src\lowsheen_lib\XCU\UART.py COM3 command:[hs2715 3 1],10,,,,,,,,,,,
UIC2715_1_H,,float,both,,11,12.5,,,PowerRead,34970A,,,,,34970A_1,,,228,volt,DC,,,
SOC_UIC2715_1_off,,string,partial,Set pin low,,,,,CommandTest,console,python .\src\lowsheen_lib\XCU\UART.py COM3 command:[hs2715 3 0],10,,,,,,,,,,,
UIC2717_0_L,,float,both,,0,0.5,,,PowerRead,34970A,,,,,34970A_1,,,229,volt,DC,,,
SOC_UIC2717_0_on,,string,partial,Set pin high,,,,,CommandTest,console,python .\src\lowsheen_lib\XCU\UART.py COM3 command:[hs2717 2 1],10,,,,,,,,,,,
UIC2717_0_H,,float,both,,11,12.5,,,PowerRead,34970A,,,,,34970A_1,,,229,volt,DC,,,
SOC_UIC2717_0_off,,string,partial,Set pin low,,,,,CommandTest,console,python .\src\lowsheen_lib\XCU\UART.py COM3 command:[hs2717 2 0],10,,,,,,,,,,,
UIC2717_1_L,,float,both,,0,0.5,,,PowerRead,34970A,,,,,34970A_1,,,230,volt,DC,,,
SOC_UIC2717_1_on,,string,partial,Set pin high,,,,,CommandTest,console,python .\src\lowsheen_lib\XCU\UART.py COM3 command:[hs2717 3 1],10,,,,,,,,,,,
UIC2717_1_H,,float,both,,11,12.5,,,PowerRead,34970A,,,,,34970A_1,,,230,volt,DC,,,
SOC_UIC2717_1_off,,string,partial,Set pin low,,,,,CommandTest,console,python .\src\lowsheen_lib\XCU\UART.py COM3 command:[hs2717 3 0],10,,,,,,,,,,,
